Date,Open,High,Low,Close,Adj Close,Volume
2015-09-18,3.097400,3.181000,3.097400,3.199000,3.199000,0
2015-09-21,3.147500,3.185000,3.133300,3.193000,3.193000,0
2015-09-22,3.159200,3.191000,3.127900,3.194000,3.194000,0
2015-09-23,3.139600,3.218000,3.139600,3.214000,3.214000,0
2015-09-24,3.136900,3.151000,3.136900,3.212500,3.212500,0
2015-09-25,3.167100,3.212500,3.142300,3.204000,3.204000,0
2015-09-28,3.133300,3.224500,3.133300,3.215000,3.215000,0
2015-09-29,3.132900,3.226500,3.125700,3.235000,3.235000,0
2015-09-30,3.161700,3.225000,3.161700,3.229000,3.229000,0
2015-10-01,3.176000,3.176000,3.160000,3.224000,3.224000,0
2015-10-02,3.148400,3.233000,3.148400,3.233000,3.233000,0
2015-10-05,3.145400,3.214000,3.145400,3.226500,3.226500,0
2015-10-06,3.166700,3.209000,3.147100,3.216000,3.216000,0
2015-10-07,3.148700,3.218000,3.148700,3.133000,3.133000,0
2015-10-08,3.153400,3.217000,3.153400,3.215000,3.215000,0
2015-10-09,3.157400,3.210000,3.146100,3.216000,3.216000,0
2015-10-12,3.140900,3.140900,3.140900,3.144900,3.144900,0
2015-10-13,3.145300,3.233000,3.145300,3.140900,3.140900,0
2015-10-14,3.155700,3.162000,3.155700,3.233000,3.233000,0
2015-10-15,3.144300,3.234000,3.144300,3.229000,3.229000,0
2015-10-16,3.182900,3.237500,3.161100,3.231000,3.231000,0
2015-10-19,3.157300,3.248000,3.157300,3.241000,3.241000,0
2015-10-20,3.171500,3.244000,3.171500,3.242500,3.242500,0
2015-10-21,3.179400,3.246000,3.179400,3.248000,3.248000,0
2015-10-22,3.181400,3.255500,3.181400,3.250000,3.250000,0
2015-10-23,3.183600,3.261000,3.183600,3.251100,3.251100,0
2015-10-26,3.199000,3.199200,3.199000,3.262000,3.262000,0
2015-10-27,3.189400,3.280000,3.189400,3.263500,3.263500,0
2015-10-28,3.207400,3.276500,3.206100,3.279000,3.279000,0
2015-10-29,3.249200,3.275500,3.206800,3.272500,3.272500,0
2015-10-30,3.198700,3.286000,3.198700,3.278500,3.278500,0
2015-11-02,3.210100,3.210100,3.207400,3.275000,3.275000,0
